nome;idade;cpf;rg;data_nasc;mae;pai;email;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo
Bruno Anthony Dias;44;847.048.309-93;44.724.349-4;13/05/1978;Catarina Fátima;Carlos Eduardo Murilo Dias;bruno_dias@robertacorrea.com;57300-275;Rua Governador Luiz Cavalcante;764;Centro;Arapiraca;AL;(82) 2862-3188;(82) 99594-5232;2;50;O-
Rafael Tomás Sebastião Brito;72;328.269.356-74;45.206.259-7;06/02/1950;Melissa Elza Isabelly;Mário Tomás Brito;rafael_tomas_brito@maiamaquinas.com.br;64048-550;Rua Dirce Oliveira;753;Ininga;Teresina;PI;(86) 3580-7336;(86) 98444-2695;2;56;AB+
Fabiana Tânia Monteiro;22;478.521.484-84;23.938.902-5;05/06/2000;Mirella Laís;Lucca Márcio Guilherme Monteiro;fabiana-monteiro78@alphagraphics.com.br;78149-648;Rua Rio São Lourenço;949;Novo Mundo;Várzea Grande;MT;(65) 3725-4978;(65) 99654-4785;1,64;47;AB+
Josefa Alana Figueiredo;34;005.967.771-67;30.172.651-6;24/03/1988;Silvana Clarice;Erick Davi Heitor Figueiredo;josefaalanafigueiredo@supercarioca.com;69018-418;Travessa E;530;Lago Azul;Manaus;AM;(92) 3556-4534;(92) 99870-8404;1,84;82;A+
Vicente Hugo Cavalcanti;22;625.422.753-35;18.737.172-6;13/01/2000;Isabelly Giovanna;Carlos Eduardo Luiz Alexandre Cavalcanti;vicente.hugo.cavalcanti@yahoo.fr;69911-860;Rua Teotônio Vilela;412;Ayrton Sena;Rio Branco;AC;(68) 3911-6680;(68) 99842-5296;1,74;75;B+
Elias Pedro Carvalho;53;491.949.179-49;42.764.335-1;22/03/1969;Rafaela Isabella Marina;Levi Levi Leonardo Carvalho;elias-carvalho81@transportesflores.com.br;76990-971;Rua Tancredo Neves, s/n;615;Centro;Chupinguaia;RO;(69) 2914-5585;(69) 99282-1314;1,93;85;AB-
Pedro Henrique Bento Moura;28;437.831.197-66;19.228.932-9;23/01/1994;Brenda Aline;André Iago Murilo Moura;pedrohenriquemoura@ipk.org.br;49069-192;Travessa São Jorge;572;Porto D'Antas;Aracaju;SE;(79) 2898-7414;(79) 98795-5148;1,68;68;AB+
Letícia Tânia Rosângela das Neves;78;090.528.165-90;22.745.164-8;27/04/1944;Andreia Giovanna Isis;Pedro Henrique Cauã Otávio das Neves;leticia_dasneves@aerobravo.com.br;69918-126;Rua 7 de Setembro;702;Doca Furtado;Rio Branco;AC;(68) 3745-6252;(68) 98765-2685;1,67;67;O+
Gael Raimundo André Martins;43;280.719.381-14;20.976.036-9;13/05/1979;Simone Larissa;Severino Benedito Martins;gael.raimundo.martins@consultoriosjc.com.br;49097-620;Praça Dom Mário Villas-Boas;387;Ponto Novo;Aracaju;SE;(79) 3551-1237;(79) 99339-4695;1,8;106;B-
Tatiane Carolina da Rocha;57;946.106.088-20;50.338.510-4;24/03/1965;Jaqueline Raquel;Osvaldo Lucas da Rocha;tatiane_carolina_darocha@compecia.com.br;54517-712;Rua Projetada B;486;Cidade Garapu;Cabo de Santo Agostinho;PE;(81) 3693-6086;(81) 98942-7361;1,54;72;AB+
